#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 09 14 00  40  0.2  0.5 99.00 99.00 99.00 999 1024.2  22.8  21.4  15.8 99.0 99.00
2015 01 09 15 00  56  0.7  1.8 99.00 99.00 99.00 999 1024.3  23.1  21.4  16.1 99.0 99.00
2015 01 09 16 00  16  0.9  1.2 99.00 99.00 99.00 999 1024.0  23.0  21.4  16.6 99.0 99.00
2015 01 09 17 00 123  3.4  4.3 99.00 99.00 99.00 999 1022.9  23.8  21.4  17.6 99.0 99.00
2015 01 09 18 00  56  1.6  2.3 99.00 99.00 99.00 999 1022.1  23.2  21.5  16.5 99.0 99.00
2015 01 09 19 00 124  3.1  3.3 99.00 99.00 99.00 999 1021.7  23.7  21.7  17.3 99.0 99.00
2015 01 09 20 00  45  1.4  1.8 99.00 99.00 99.00 999 1021.4  23.3  21.9  17.4 99.0 99.00
2015 01 09 21 00  27  0.6  1.1 99.00 99.00 99.00 999 1021.7  23.3  22.1  17.4 99.0 99.00
2015 01 09 22 00  97  1.9  2.1 99.00 99.00 99.00 999 1022.1  22.9  22.1  17.9 99.0 99.00
2015 01 09 23 00  55  1.9  2.1 99.00 99.00 99.00 999 1022.8  22.8  22.1  18.4 99.0 99.00
2015 01 10 00 00  52  1.6  1.7 99.00 99.00 99.00 999 1023.4  22.8  22.3  18.8 99.0 99.00
2015 01 10 01 00  66  2.6  2.9 99.00 99.00 99.00 999 1023.6  22.5  22.3  19.4 99.0 99.00
2015 01 10 02 00  39  3.6  3.9 99.00 99.00 99.00 999 1023.7  22.3  22.3  19.3 99.0 99.00
