YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 08 18 00  56  3.8  4.9 99.00 99.00 99.00 999 1023.9  23.9  23.2  17.6 99.0 -0.21
2005 01 08 19 00  78  4.7  5.4 99.00 99.00 99.00 999 1023.2  23.9  23.5  17.3 99.0 -0.06
2005 01 08 20 00  88  5.0  5.5 99.00 99.00 99.00 999 1022.9  24.0  23.7  16.6 99.0  0.20
2005 01 08 21 00  74  4.9  5.6 99.00 99.00 99.00 999 1022.9  24.0  23.8  16.7 99.0  0.47
2005 01 08 22 00  79  5.0  5.3 99.00 99.00 99.00 999 1022.9  23.9  23.8  17.0 99.0  0.53
2005 01 08 23 00  85  6.5  7.5 99.00 99.00 99.00 999 1022.9  23.6  23.6  17.3 99.0  0.66
2005 01 09 00 00  86  6.2  6.7 99.00 99.00 99.00 999 1023.5  23.5  23.4  17.8 99.0  0.73
2005 01 09 01 00  71  5.7  6.5 99.00 99.00 99.00 999 1024.1  23.4  23.2  17.8 99.0  0.73
2005 01 09 02 00  61  6.1  6.7 99.00 99.00 99.00 999 1024.4  23.3  23.1  17.2 99.0  0.59
2005 01 09 03 00  66  6.0  6.7 99.00 99.00 99.00 999 1024.5  23.2  23.0  17.6 99.0  0.38
2005 01 09 04 00  52  5.0  5.8 99.00 99.00 99.00 999 1024.5  23.0  23.0  18.3 99.0  0.30
2005 01 09 05 00  46  4.6  5.1 99.00 99.00 99.00 999 1024.2  22.9  22.9  18.9 99.0  0.18
2005 01 09 06 00  50  3.7  4.1 99.00 99.00 99.00 999 1023.8  23.0  23.0  19.7 99.0  0.12
2005 01 09 07 00  52  4.9  5.4 99.00 99.00 99.00 999 1023.7  23.2  23.0  18.7 99.0  0.11
2005 01 09 08 00  28  6.5  7.3 99.00 99.00 99.00 999 1023.3  22.4  22.9  19.2 99.0  0.02
2005 01 09 09 00  36  6.3  7.1 99.00 99.00 99.00 999 1023.2  22.6  22.8  18.7 99.0 -0.20
2005 01 09 10 00  42  6.2  6.8 99.00 99.00 99.00 999 1023.1  22.8  22.8  17.9 99.0 -0.42
2005 01 09 11 00  35  6.3  6.8 99.00 99.00 99.00 999 1023.3  22.5  22.8  18.8 99.0 -0.47
2005 01 09 12 00  44  6.0  6.6 99.00 99.00 99.00 999 1023.8  22.5  22.8  18.8 99.0 -0.29
2005 01 09 13 00  34  4.3  4.7 99.00 99.00 99.00 999 1024.3  22.6  22.7  18.7 99.0 -0.17
2005 01 09 14 00  36  3.7  4.0 99.00 99.00 99.00 999 1024.9  22.6  22.7  19.3 99.0 -0.09
2005 01 09 15 00  22  5.0  5.5 99.00 99.00 99.00 999 1025.2  22.5  22.7  19.2 99.0 -0.15
2005 01 09 16 00  77  5.6  6.6 99.00 99.00 99.00 999 1024.9  23.8  22.7  17.7 99.0 -0.32
2005 01 09 17 00  72  4.4  4.8 99.00 99.00 99.00 999 1024.3  24.1  22.8  16.7 99.0 -0.58
2005 01 09 18 00  68  3.7  4.4 99.00 99.00 99.00 999 1023.3  24.2  23.0  16.7 99.0 -0.60
2005 01 09 19 00  56  4.7  5.3 99.00 99.00 99.00 999 1022.8  23.9  23.2  18.7 99.0 -0.55
2005 01 09 20 00  69  6.6  7.5 99.00 99.00 99.00 999 1022.7  24.1  23.4  17.6 99.0 -0.35
2005 01 09 21 00  64  6.1  7.5 99.00 99.00 99.00 999 1022.4  24.0  23.5  17.9 99.0 -0.03
2005 01 09 22 00  78  7.9  8.7 99.00 99.00 99.00 999 1022.5  24.0  23.6  17.2 99.0  0.29
2005 01 09 23 00  77  7.2  8.2 99.00 99.00 99.00 999 1022.8  23.7  23.5  17.9 99.0  0.41
2005 01 10 00 00  63  6.1  6.7 99.00 99.00 99.00 999 1023.3  23.5  23.2  18.7 99.0  0.57
2005 01 10 01 00  55  6.5  7.1 99.00 99.00 99.00 999 1023.9  23.4  23.1  18.8 99.0  0.67
2005 01 10 02 00  54  6.5  7.1 99.00 99.00 99.00 999 1023.9  23.2  23.0  19.0 99.0  0.68
2005 01 10 03 00  61  5.8  6.5 99.00 99.00 99.00 999 1024.3  23.2  22.9  19.1 99.0  0.56
2005 01 10 04 00  52  4.9  5.4 99.00 99.00 99.00 999 1024.2  23.0  22.9  19.9 99.0  0.40
2005 01 10 05 00  58  4.8  5.5 99.00 99.00 99.00 999 1023.8  23.0  22.8  19.2 99.0  0.33
2005 01 10 06 00  56  5.8  6.3 99.00 99.00 99.00 999 1023.3  23.0  22.8  18.9 99.0  0.22
2005 01 10 07 00  57  5.2  6.1 99.00 99.00 99.00 999 1023.0  22.8  22.8  19.1 99.0  0.17
