YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 01 10 00 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 10 01 195  5.9  6.8 99.00 99.00 99.00 999 1011.6  25.6 999.0 999.0 99.0
97 01 10 02 212  8.0  9.0 99.00 99.00 99.00 999 9999.0  26.1 999.0 999.0 99.0
97 01 10 03 208 10.7 12.0 99.00 99.00 99.00 999 1011.6  26.0 999.0 999.0 99.0
97 01 10 04 211 11.3 13.4 99.00 99.00 99.00 999 9999.0  25.7 999.0 999.0 99.0
97 01 10 05 213 11.7 13.3 99.00 99.00 99.00 999 9999.0  25.5 999.0 999.0 99.0
97 01 10 06 217 11.7 99.0 99.00 99.00 99.00 999 9999.0  25.5 999.0 999.0 99.0
97 01 10 07 347 14.3 15.8 99.00 99.00 99.00 999 9999.0  18.5 999.0 999.0 99.0
97 01 10 08 347 10.6 12.4 99.00 99.00 99.00 999 9999.0  18.4 999.0 999.0 99.0
97 01 10 09 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 10 10 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 10 11 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 10 12 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 10 13 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 10 14 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 10 15 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 10 16  12  8.1  9.5 99.00 99.00 99.00 999 1016.3  18.3 999.0 999.0 99.0
97 01 10 17  29  5.8  7.4 99.00 99.00 99.00 999 1015.7  18.2 999.0 999.0 99.0
97 01 10 18 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 10 19  39  4.1  5.1 99.00 99.00 99.00 999 1013.7  18.7 999.0 999.0 99.0
97 01 10 20  25  4.1  4.9 99.00 99.00 99.00 999 1013.4  19.2 999.0 999.0 99.0
97 01 10 21  24  2.3  3.1 99.00 99.00 99.00 999 1013.5  19.3 999.0 999.0 99.0
97 01 10 22  16  2.3  3.3 99.00 99.00 99.00 999 1013.4  19.6 999.0 999.0 99.0
97 01 10 23 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 11 00 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 11 01 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 11 02 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 11 03 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 11 04 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 11 05 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 11 06 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 11 07 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 11 08 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 11 09 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 11 10 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 11 11 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 11 12 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 11 13 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 11 14 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 11 15 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 11 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
